Source;Target
1151721;60011663
1151721;81135138
1151721;80121192
1151721;81064867
1151721;70056430
1151721;60011152
1151721;81161372
1151721;80175798
1151721;60024942
1151721;70020509
1151721;1152837
1151721;60036246
1151721;70189289
1151721;18907685
1151721;81603987
1151721;80017167
1151721;80212934
1151721;328438
1151721;70230640
1151721;268371
1151721;80013871
1151721;80098202
1151721;80240371
1151721;80152434
1151721;80207506
1151721;60029681
20559714;60036256
20559714;80161352
20559714;81044417
20559714;80017529
20559714;60023597
20559714;60004473
20559714;80187362
20559714;80093133
20559714;81004278
20559714;70217910
20559714;70127226
20559714;70178621
20559714;81152992
20559714;5670479
20559714;70305899
20559714;60001650
20559714;81161789
20559714;81073022
20559714;80098202
20559714;80029196
20559714;70108779
20559714;80133543
20559714;60002360
20559714;80237937
28630857;70293674
28630857;70019062
28630857;81478031
28630857;70106454
28630857;70142821
28630857;80036398
28630857;70019060
28630857;81328781
28630857;70216227
28630857;80092922
28630857;70028883
28630857;70262786
28630857;70045021
28630857;60027393
28630857;60032294
28630857;80158668
28630857;60023642
28630857;81281872
28630857;81345945
28630857;70019058
28630857;70035036
28630857;60027106
28630857;80233883
28630857;60021103
28630857;80013552
28630857;80234491
60000417;60011663
60000417;81135138
60000417;80081151
60000417;80197327
60000417;80017529
60000417;80058397
60000417;60011152
60000417;70305903
60000417;60024942
60000417;70044605
60000417;70243460
60000417;70135893
60000417;81092221
60000417;81557402
60000417;70114497
60000417;81660544
60000417;70119811
60000417;994992
60000417;70230640
60000417;268371
60000417;81239779
60000417;60001220
60000417;80013871
60000417;70104313
60000417;60024922
60000417;80207506
60001044;60020626
60001044;60011663
60001044;81582615
60001044;80017529
60001044;70056430
60001044;60011152
60001044;80170278
60001044;693960
60001044;60026139
60001044;70305907
60001044;60022974
60001044;70018720
60001044;60028308
60001044;70305899
60001044;80182016
60001044;70230640
60001044;80190859
60001044;70208104
60001044;80013871
60001044;80098202
60001044;505789
60001044;80133543
60001044;70111323
60001044;70056440
60001044;80179070
60001044;80014727
60001650;81030627
60001650;80037476
60001650;70056430
60001650;60004481
60001650;215318
60001650;70047101
60001650;215309
60001650;60024059
60001650;70208247
60001650;24063311
60001650;70178621
60001650;81152992
60001650;60036230
60001650;60034587
60001650;70097577
60001650;80158583
60001650;81161789
60001650;70125231
60001650;80029196
60001650;80094318
60001650;20559714
60001650;60010110
60001650;70060015
60002360;60036256
60002360;81044417
60002360;81030627
60002360;80216309
60002360;80037476
60002360;70099790
60002360;80017529
60002360;81165134
60002360;80187362
60002360;80093133
60002360;81004278
60002360;70178621
60002360;80170280
60002360;60001650
60002360;81161789
60002360;22013422
60002360;81073022
60002360;80098202
60002360;70108779
60002360;60020549
60002360;80237937
60002360;20559714
60002360;60010110
60004481;81044417
60004481;81030627
60004481;80216309
60004481;80037476
60004481;70056430
60004481;60004473
60004481;80187362
60004481;70208247
60004481;81004278
60004481;70217910
60004481;70021642
60004481;70178621
60004481;80027042
60004481;80091595
60004481;70097577
60004481;70208104
60004481;60001650
60004481;81161789
60004481;81073022
60004481;80098202
60004481;80029196
60004481;60002360
60004481;80237937
60010110;81030627
60010110;80037476
60010110;81057361
60010110;986399
60010110;70143830
60010110;215318
60010110;60003016
60010110;60020686
60010110;215309
60010110;70217910
60010110;60034587
60010110;60020828
60010110;70153404
60010110;70270408
60010110;60001650
60010110;81161789
60010110;70125231
60010110;80029196
60010110;80094318
60010110;60021783
60010110;60020549
60010110;60002360
60010110;20559714
60010110;684660
60023642;81316559
60023642;80158156
60023642;70019062
60023642;81478031
60023642;70106454
60023642;60034572
60023642;70216227
60023642;70028883
60023642;81616116
60023642;60020686
60023642;70045021
60023642;60027393
60023642;60032294
60023642;81311604
60023642;81143068
60023642;70142405
60023642;81026605
60023642;70019058
60023642;70109889
60023642;60027106
60024918;81044417
60024918;80216309
60024918;70251536
60024918;80017529
60024918;70056430
60024918;81074110
60024918;80206300
60024918;80158764
60024918;81040362
60024918;70305903
60024918;81194641
60024918;60022974
60024918;81023636
60024918;80218306
60024918;80067831
60024918;80170280
60024918;70208104
60024918;80167481
60024918;22013422
60024918;80098202
60024918;80029196
60024918;70108779
60024918;80236421
60024918;80237937
60024918;81067760
60024918;70060015
60024922;60011663
60024922;80242342
60024922;80058397
60024922;60011152
60024922;70178624
60024922;60020749
60024922;60024942
60024922;70044605
60024922;80216302
60024922;81557402
60024922;81092221
60024922;80226923
60024922;81603987
60024922;80096984
60024922;80177416
60024922;70119811
60024922;60000417
60024922;80999009
60024922;328438
60024922;80015343
60024922;80013871
60024922;70132721
60024922;80176893
60024922;80207506
60024922;70084788
60024922;60029681
60024942;60011663
60024942;80101899
60024942;80121192
60024942;81064867
60024942;80017529
60024942;60011152
60024942;70305903
60024942;70044605
60024942;70243460
60024942;70201437
60024942;70189289
60024942;81092221
60024942;18907685
60024942;70119811
60024942;60000417
60024942;81252357
60024942;70230640
60024942;80015343
60024942;268371
60024942;80013871
60024942;70132721
60024942;81140933
60024942;60024922
60024942;70084788
60024942;80207506
60024942;60029681
60027106;81316559
60027106;80158156
60027106;70019062
60027106;81478031
60027106;70106454
60027106;70216227
60027106;70028883
60027106;81616116
60027106;60020686
60027106;81050106
60027106;70045021
60027106;60027393
60027106;60032294
60027106;60023642
60027106;81311604
60027106;81143068
60027106;81026605
60027106;70019058
60027106;70109889
60027106;81214399
60027106;81451264
60027393;81316559
60027393;80158156
60027393;70002007
60027393;70019062
60027393;81478031
60027393;70106454
60027393;70216227
60027393;70028883
60027393;81616116
60027393;60020686
60027393;81050106
60027393;70045021
60027393;60032294
60027393;60023642
60027393;81143068
60027393;81311604
60027393;70142405
60027393;81026605
60027393;81475311
60027393;70019058
60027393;70109889
60027393;60027106
60027393;81214399
60027393;81451264
60028308;60020626
60028308;60011663
60028308;20559714
60028308;81582615
60028308;80017529
60028308;70056430
60028308;60011152
60028308;60022974
60028308;60001044
60028308;80197619
60028308;81035551
60028308;81603987
60028308;70305899
60028308;5670479
60028308;80182016
60028308;70189304
60028308;80190859
60028308;70208104
60028308;80013871
60028308;80098202
60028308;505789
60028308;80133543
60028308;70111323
60028308;60026139
60028308;70056440
60028308;80014727
60032294;81316559
60032294;80158156
60032294;70019062
60032294;81478031
60032294;70106454
60032294;81191047
60032294;70216227
60032294;70028883
60032294;81616116
60032294;81424426
60032294;60020686
60032294;81050106
60032294;70045021
60032294;60027393
60032294;60023642
60032294;81311604
60032294;81143068
60032294;81026605
60032294;81475311
60032294;70019058
60032294;60027106
60032294;81214399
60032294;81186971
60032294;70250213
60032294;81451264
60032294;81099996
70018720;80161352
70018720;70119441
70018720;81034865
70018720;81030627
70018720;80216200
70018720;70251536
70018720;80017529
70018720;70056430
70018720;80200573
70018720;81171201
70018720;81279324
70018720;81165134
70018720;60026139
70018720;81465109
70018720;60022974
70018720;70065116
70018720;60001044
70018720;81004278
70018720;80013871
70018720;81073022
70018720;70060015
70018720;81086887
70018720;318960
70018720;80133543
70018720;80237937
70018720;80014727
70020509;81030627
70020509;1151721
70020509;80017529
70020509;70056430
70020509;80190534
70020509;80111425
70020509;81279324
70020509;70243460
70020509;80170988
70020509;60022974
70020509;81557402
70020509;18907685
70020509;70044379
70020509;81249833
70020509;81370440
70020509;80236390
70020509;60028308
70020509;70189304
70020509;80071227
70020509;70208104
70020509;80013871
70020509;80098202
70020509;70305892
70020509;60026139
70020509;60029681
70020509;81612863
70028883;81316559
70028883;80158156
70028883;70019062
70028883;81478031
70028883;70106454
70028883;70216227
70028883;81616116
70028883;60020686
70028883;70243449
70028883;70045021
70028883;60027393
70028883;60032294
70028883;60023642
70028883;81143068
70028883;81311604
70028883;70142405
70028883;81026605
70028883;70019058
70028883;70109889
70028883;60027106
70056430;70143836
70056430;81030627
70056430;80017529
70056430;80190534
70056430;80111425
70056430;81279324
70056430;70020509
70056430;60022974
70056430;60029196
70056430;81557402
70056430;81458368
70056430;81370440
70056430;80236390
70056430;60028308
70056430;81005492
70056430;70189304
70056430;80071227
70056430;70208104
70056430;70281312
70056430;80013871
70056430;81073022
70056430;80098202
70056430;70305892
70056430;60026139
70056430;80113647
70056430;81612863
70056440;80161352
70056440;81582615
70056440;80216309
70056440;80017529
70056440;70056430
70056440;70305907
70056440;80093133
70056440;70065116
70056440;81557402
70056440;70301870
70056440;81004278
70056440;70305899
70056440;60028308
70056440;80014727
70056440;80170280
70056440;80091595
70056440;80190859
70056440;70208104
70056440;80013871
70056440;81073022
70056440;80098202
70056440;80175352
70056440;80133543
70056440;70111323
70056440;80237937
70056440;70060015
70060015;80119234
70060015;81030627
70060015;70177057
70060015;80216309
70060015;70251536
70060015;80017529
70060015;81186049
70060015;70305903
70060015;81046394
70060015;80196789
70060015;81128579
70060015;81004278
70060015;81152992
70060015;80067831
70060015;70097577
70060015;80091595
70060015;80185760
70060015;70208104
70060015;60001650
70060015;80167481
70060015;80013871
70060015;81073022
70060015;80098202
70060015;80029196
70060015;70108779
70060015;70056440
70060015;80237937
70079583;70143836
70079583;81030627
70079583;80017529
70079583;70208599
70079583;81165134
70079583;60026139
70079583;80166369
70079583;80187362
70079583;70065116
70079583;80236314
70079583;81092221
70079583;70208247
70079583;80218200
70079583;70305899
70079583;80236390
70079583;60036230
70079583;80157091
70079583;80027042
70079583;80091595
70079583;80013871
70079583;81073022
70079583;70305892
70079583;80237937
70079583;60029681
70079583;70060015
70106454;81316559
70106454;80158156
70106454;70019062
70106454;81478031
70106454;70113007
70106454;70216227
70106454;70028883
70106454;81616116
70106454;60020686
70106454;81050106
70106454;70045021
70106454;60027393
70106454;60032294
70106454;60023642
70106454;81143068
70106454;81311604
70106454;81026605
70106454;81475311
70106454;70019058
70106454;70109889
70106454;60027106
70106454;81451264
70111323;60020626
70111323;60011663
70111323;80161352
70111323;81582615
70111323;80200571
70111323;70251536
70111323;80017529
70111323;60011152
70111323;70065116
70111323;60001044
70111323;70301870
70111323;81603987
70111323;81004278
70111323;60028308
70111323;70305899
70111323;5670479
70111323;80182016
70111323;80190859
70111323;80013871
70111323;81073022
70111323;80098202
70111323;505789
70111323;80133543
70111323;70056440
70111323;20559714
70111323;80014727
70113002;70218756
70113002;70267242
70113002;70143830
70113002;81404276
70113002;81033865
70113002;80073160
70113002;80243600
70113002;70136120
70113002;81290742
70113002;80993280
70113002;215309
70113002;70208247
70113002;81161828
70113002;80191876
70113002;70153404
70113002;70087541
70113002;70244166
70113002;80158583
70113002;70270408
70113002;70125231
70113002;70123711
70113002;80094318
70113002;70028904
70113002;70281562
70119811;81135138
70119811;80081151
70119811;80064511
70119811;80242342
70119811;80073823
70119811;80017529
70119811;81435227
70119811;18171073
70119811;81161372
70119811;60024942
70119811;70044605
70119811;80200047
70119811;70201437
70119811;70135893
70119811;70114497
70119811;80096984
70119811;81028975
70119811;60000417
70119811;268371
70119811;80058880
70119811;70132721
70119811;81140933
70119811;70104313
70119811;60024922
70119811;80207506
70119811;70084788
70125931;70002007
70125931;60022058
70125931;60027689
70125931;60034572
70125931;70033005
70125931;80241136
70125931;70267728
70125931;986399
70125931;600346
70125931;81023618
70125931;81427442
70125931;81616116
70125931;80204447
70125931;80992263
70125931;81011712
70125931;60020686
70125931;70243449
70125931;60031264
70125931;80071348
70125931;81026605
70125931;70021640
70125931;70298991
70125931;80002924
70125931;28631029
70125931;81024153
70125931;80994666
70136041;81663277
70136041;81567127
70136041;81600435
70136041;81088495
70136041;81209142
70136041;81663276
70136041;81466149
70136041;80057784
70136041;80073160
70136041;70103759
70136041;81290742
70136041;81290755
70136041;81623190
70136041;80171705
70136041;81623351
70136041;81191429
70136041;70144327
70136041;70153404
70136041;70165474
70136041;80192947
70136041;80037273
70136041;81623358
70136041;70295080
70136041;445386
70136041;81663279
70136041;81567123
70136120;70300800
70136120;70153373
70136120;81435370
70136120;81516751
70136120;81459281
70136120;81468289
70136120;70195800
70136120;70143830
70136120;81288370
70136120;81165134
70136120;81458416
70136120;70140358
70136120;215309
70136120;80025384
70136120;70208247
70136120;80995819
70136120;70155618
70136120;80014749
70136120;80998491
70136120;70167068
