Id;Label;Genres;Netflix_original;Nombre_occurrence
20559714;La Momie;Films d'action;False;2
215309;Ace Ventura, détective chiens et chats;Films comiques,Intrigues;False;1
22013422;Peur bleue;Films SF,Films d'horreur,Films d'action;False;1
28630857;Princesse Mononoké;Anime SF et fantastique,Films pour la famille,Anime d'action,Japonais,Aventures en famille;False;1
445386;Dirty Dancing;Drames,Films romantiques,Drames primés;False;1
505789;Lancelot, le premier chevalier;Drames,Films romantiques,Films d'époque;False;1
60000417;La Ligne verte;Drames,Films inspirés de livres,Drames primés;False;2
60001393;A l'aube du 6ème jour;Films SF,Films d'action;False;1
60002360;Jurassic Park;Films SF,Films inspirés de livres,Films d'action;False;1
60004481;Spider-Man;Films SF,Films d'action;False;1
60010110;Retour vers le futur;Films pour la famille,Films SF,Aventures en famille,Films comiques;False;1
60020549;Le Retour de la momie;Films d'action;False;1
60023071;Minority Report;Films SF,Films policiers,Films inspirés de livres,Policiers d'action,Films d'action;False;1
60023642;Le Voyage de Chihiro;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;2
60024918;Fusion;Films SF,Films d'action;False;1
60024922;8 Mile;Musique,Drames,Culture Hip-hop,Drames sociaux;False;1
60024942;Arrête-moi si tu peux;Films policiers,Drames,Films inspirés de livres,Films inspirés de faits réels,Drames primés;False;2
60027106;Kiki la petite sorcière;Films pour la famille,Films jeunesse et famille,Japonais,Animation japonaise inspirée de livres,Aventures en famille;False;1
60027393;Le Château dans le ciel;Films pour la famille,Films jeunesse et famille,Japonais,Aventures en famille,Films d'animation;False;1
60028308;Robin des Bois, prince des voleurs;Films romantiques,Films d'époque,Films d'action;False;3
60029196;S.W.A.T. - Unité d'élite;Films policiers,Policiers d'action,Films d'action;False;1
60032294;Mon voisin Totoro;Films pour la famille,Films jeunesse et famille,Japonais,Films d'animation,Films d'animation japonaise;False;1
600346;Hook ou la revanche du Capitaine Crochet;Films pour la famille,Films jeunesse et famille,Films inspirés d'une pièce de théâtre,Aventures en famille,Films inspirés de livres;False;1
70002007;Gang de Requins;Films pour la famille,Films jeunesse et famille,Aventures en famille,Films comiques,Films d'animation;False;1
70020509;Heat;Films policiers,Policiers d'action,Films d'action;False;4
70021642;Batman Begins;Films d'action;False;1
